Discrete_Time;Time;Acquisition_Number;Sm;Enc_Position;ActTemp_1;ActPos_1;ActVel_1;ActCur_1;VelRef_1;IsdIstwert_1;UsqRegleeausgang_1;UsdRegleeausgang_1;StellwertU_1;ActTemp_2;ActPos_2;ActVel_2;ActCur_2;VelRef_2;IsdIstwert_2;UsqRegleeausgang_2;UsdRegleeausgang_2;StellwertU_2;Board1Acc1X;Board1Acc1Y;Board1Acc1Z;Board1Acc2X;Board1Acc2Y;Board1Acc2Z;Board1Acc3X;Board1Acc3Y;Board1Acc3Z;Board2Acc1X;Board2Acc1Y;Board2Acc1Z;Board2Acc2X;Board2Acc2Y;Board2Acc2Z;Board2Acc3X;Board2Acc3Y;Board2Acc3Z;Board3Acc1X;Board3Acc1Y;Board3Acc1Z;Board3Acc2X;Board3Acc2Y;Board3Acc2Z;Board3Acc3X;Board3Acc3Y;Board3Acc3Z
356403;2022-07-22 15:31:21.627;51;218;9526312;38;4135522615.0;-0.380333224932353;-14.333725;0.0;-0.006210422;-6.454966;-0.8620474;0.5122479;37;160088556.0;-1.0261975924174;14.389325;0.0;0.009653145;6.08712;-2.235625;0.4878262;0.4705811;0.3572998;0.7420655;0.2967529;0.5037842;-0.7696533;-0.8380127;0.02917481;0.468628;-0.8809814;0.01550293;-0.5020752;-0.0333252;0.8299561;0.4881592;0.8397217;0.005737305;0.484253;-0.3751221;0.7791748;-0.529419;-0.8223877;0.5506592;-0.005981446;-0.810669;0.00769043;-0.5196533
356403;2022-07-22 15:31:21.627;51;218;9526312;38;4135522615.0;-0.296203811963399;-14.333725;3.4604925480512e-14;-0.0221131;-6.741662;-0.8182872;0.512681;37;160088562.0;4.16238721211751;14.389325;3.4604925480512e-14;-0.02890043;6.520326;-2.174647;0.4870522;0.4705811;0.3572998;0.7420655;0.2967529;0.5037842;-0.7696533;-0.8380127;0.02917481;0.468628;-0.8809814;0.01550293;-0.5020752;-0.0333252;0.8299561;0.4881592;0.8397217;0.005737305;0.484253;-0.3751221;0.7791748;-0.529419;-0.8223877;0.5506592;-0.005981446;-0.810669;0.00769043;-0.5196533
356403;2022-07-22 15:31:21.627;51;218;9526312;38;4135522615.0;-0.296203811963399;-14.333725;1.10735761535818e-12;-0.0221131;-6.741662;-0.8182872;0.512681;37;160088562.0;4.16238721211751;14.389325;1.10735761535818e-12;-0.02890043;6.520326;-2.174647;0.4870522;0.4705811;0.3572998;0.7420655;0.2967529;0.5037842;-0.7696533;-0.8380127;0.02917481;0.468628;-0.8809814;0.01550293;-0.5020752;-0.0333252;0.8299561;0.4881592;0.8397217;0.005737305;0.484253;-0.3751221;0.7791748;-0.529419;-0.8223877;0.5506592;-0.005981446;-0.810669;0.00769043;-0.5196533
356403;2022-07-22 15:31:21.627;51;218;9526312;38;4135522614.0;0.579371889432271;-13.605198;8.40899689131902e-12;-0.01655006;-9.776822;-0.8616232;0.5187401;37;160088562.0;2.73538557688395;13.560121;8.40899689131902e-12;0.04394214;9.145943;-2.32713;0.4847718;0.4705811;0.3572998;0.7420655;0.2967529;0.5037842;-0.7696533;-0.8380127;0.02917481;0.468628;-0.8809814;0.01550293;-0.5020752;-0.0333252;0.8299561;0.4881592;0.8397217;0.005737305;0.484253;-0.3751221;0.7791748;-0.529419;-0.8223877;0.5506592;-0.005981446;-0.810669;0.00769043;-0.5196533
356404;2022-07-22 15:31:21.628;51;218;9526312;38;4135522612.0;2.0727752049764;-13.605198;3.54354436881126e-11;0.011477261;-10.046794;-0.9298108;0.5193169;37;160088557.0;-1.20167104403178;13.560121;3.54354436881126e-11;-0.0958131;9.600471;-2.007535;0.485932;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
356404;2022-07-22 15:31:21.628;51;218;9526312;38;4135522613.0;0.804223299026489;-13.605198;1.0814039210598e-10;0.01650049;-8.588422;-0.8955001;0.5163556;37;160088556.0;-1.20799048741659;13.560121;1.0814039210598e-10;-0.02466838;8.23538;-2.157624;0.4863521;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
356404;2022-07-22 15:31:21.628;51;218;9526312;38;4135522613.0;0.804223299026489;-13.605198;2.69087900457827e-10;0.01650049;-8.588422;-0.8955001;0.5163556;37;160088558.0;0.0717856089274089;13.560121;2.69087900457827e-10;-0.02270248;8.559925;-2.194745;0.4858789;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
356404;2022-07-22 15:31:21.628;51;218;9526312;38;4135522614.0;-0.284982840220133;-13.351773;5.81604982309228e-10;-0.02304236;-8.83251;-0.8305933;0.5168009;37;160088559.0;0.865962346394857;13.276802;5.81604982309228e-10;-0.008344402;9.547598;-2.223595;0.4850239;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
356405;2022-07-22 15:31:21.629;51;218;9526312;38;4135522614.0;0.545450170834859;-13.257117;5.5731578472741805e-09;0.02105471;-10.590104;-0.9152939;0.5202969;37;160088555.0;-1.70686213175456;13.283026;5.5731578472741805e-09;-0.02092507;9.690853;-2.184327;0.4853039;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
356405;2022-07-22 15:31:21.629;51;218;9526312;38;4135522617.0;-1.96106767654419;-13.351773;3.46049254487716e-09;0.01620445;-10.116038;-0.926897;0.519163;37;160088556.0;-1.09160844484965;13.276802;3.46049254487716e-09;-0.05805459;10.124644;-2.105933;0.4852152;0.4764405;0.3494873;0.7459717;0.3006592;0.5018311;-0.7696533;-0.8380127;0.02331543;0.4588623;-0.8770752;0.01550293;-0.5059815;-0.0333252;0.828003;0.4881592;0.8358155;0.01159668;0.4725342;-0.3692627;0.7733155;-0.5411377;-0.8321533;0.5565186;-0.00402832;-0.8087158;0.001831055;-0.5059815
