Acquisition Number,Name,Date,Machine,Site,Material_type,Diameter
10,TrainoCaso1,2019/11/13 9:57:45,Prima13,Schnell Spa,1,8
68,TrainoCaso1,2019/11/13 10:0:1,Prima13,Schnell Spa,1,8
82,TrainoCaso1,2019/11/13 10:0:34,Prima13,Schnell Spa,1,8
87,TrainoCaso1,2019/11/13 10:0:45,Prima13,Schnell Spa,1,8
101,TrainoCaso1,2019/11/13 10:1:18,Prima13,Schnell Spa,1,8
38,TrainoCaso1,2019/11/13 9:58:51,Prima13,Schnell Spa,1,8
81,TrainoCaso1,2019/11/13 10:0:31,Prima13,Schnell Spa,1,8
90,TrainoCaso1,2019/11/13 10:0:52,Prima13,Schnell Spa,1,8
80,TrainoCaso1,2019/11/13 10:0:29,Prima13,Schnell Spa,1,8
11,TrainoCaso1,2019/11/13 9:57:48,Prima13,Schnell Spa,1,8
75,TrainoCaso1,2019/11/13 10:0:17,Prima13,Schnell Spa,1,8
36,TrainoCaso1,2019/11/13 9:58:46,Prima13,Schnell Spa,1,8
28,TrainoCaso1,2019/11/13 9:58:27,Prima13,Schnell Spa,1,8
9,TrainoCaso1,2019/11/13 9:57:43,Prima13,Schnell Spa,1,8
39,TrainoCaso1,2019/11/13 9:58:53,Prima13,Schnell Spa,1,8
57,TrainoCaso1,2019/11/13 9:59:35,Prima13,Schnell Spa,1,8
29,TrainoCaso1,2019/11/13 9:58:30,Prima13,Schnell Spa,1,8
61,TrainoCaso1,2019/11/13 9:59:45,Prima13,Schnell Spa,1,8
100,TrainoCaso1,2019/11/13 10:1:16,Prima13,Schnell Spa,1,8
20,TrainoCaso1,2019/11/13 9:58:9,Prima13,Schnell Spa,1,8
60,TrainoCaso1,2019/11/13 9:59:42,Prima13,Schnell Spa,1,8
70,TrainoCaso1,2019/11/13 10:0:6,Prima13,Schnell Spa,1,8
105,TrainoCaso1,2019/11/13 10:1:27,Prima13,Schnell Spa,1,8
50,TrainoCaso1,2019/11/13 9:59:19,Prima13,Schnell Spa,1,8
30,TrainoCaso1,2019/11/13 9:58:32,Prima13,Schnell Spa,1,8
88,TrainoCaso1,2019/11/13 10:0:48,Prima13,Schnell Spa,1,8
23,TrainoCaso1,2019/11/13 9:58:16,Prima13,Schnell Spa,1,8
44,TrainoCaso1,2019/11/13 9:59:5,Prima13,Schnell Spa,1,8
13,TrainoCaso1,2019/11/13 9:57:52,Prima13,Schnell Spa,1,8
76,TrainoCaso1,2019/11/13 10:0:20,Prima13,Schnell Spa,1,8
58,TrainoCaso1,2019/11/13 9:59:38,Prima13,Schnell Spa,1,8
14,TrainoCaso1,2019/11/13 9:57:55,Prima13,Schnell Spa,1,8
69,TrainoCaso1,2019/11/13 10:0:3,Prima13,Schnell Spa,1,8
94,TrainoCaso1,2019/11/13 10:1:2,Prima13,Schnell Spa,1,8
96,TrainoCaso1,2019/11/13 10:1:6,Prima13,Schnell Spa,1,8
41,TrainoCaso1,2019/11/13 9:58:58,Prima13,Schnell Spa,1,8
15,TrainoCaso1,2019/11/13 9:57:57,Prima13,Schnell Spa,1,8
104,TrainoCaso1,2019/11/13 10:1:25,Prima13,Schnell Spa,1,8
85,TrainoCaso1,2019/11/13 10:0:41,Prima13,Schnell Spa,1,8
40,TrainoCaso1,2019/11/13 9:58:55,Prima13,Schnell Spa,1,8
65,TrainoCaso1,2019/11/13 9:59:54,Prima13,Schnell Spa,1,8
12,TrainoCaso1,2019/11/13 9:57:50,Prima13,Schnell Spa,1,8
16,TrainoCaso1,2019/11/13 9:57:59,Prima13,Schnell Spa,1,8
18,TrainoCaso1,2019/11/13 9:58:4,Prima13,Schnell Spa,1,8
49,TrainoCaso1,2019/11/13 9:59:17,Prima13,Schnell Spa,1,8
63,TrainoCaso1,2019/11/13 9:59:49,Prima13,Schnell Spa,1,8
99,TrainoCaso1,2019/11/13 10:1:13,Prima13,Schnell Spa,1,8
64,TrainoCaso1,2019/11/13 9:59:52,Prima13,Schnell Spa,1,8
83,TrainoCaso1,2019/11/13 10:0:36,Prima13,Schnell Spa,1,8
7,TrainoCaso1,2019/11/13 9:57:37,Prima13,Schnell Spa,1,8
25,TrainoCaso1,2019/11/13 9:58:20,Prima13,Schnell Spa,1,8
77,TrainoCaso1,2019/11/13 10:0:22,Prima13,Schnell Spa,1,8
67,TrainoCaso1,2019/11/13 9:59:59,Prima13,Schnell Spa,1,8
48,TrainoCaso1,2019/11/13 9:59:14,Prima13,Schnell Spa,1,8
4,TrainoCaso1,2019/11/13 9:56:35,Prima13,Schnell Spa,1,8
33,TrainoCaso1,2019/11/13 9:58:39,Prima13,Schnell Spa,1,8
17,TrainoCaso1,2019/11/13 9:58:2,Prima13,Schnell Spa,1,8
91,TrainoCaso1,2019/11/13 10:0:55,Prima13,Schnell Spa,1,8
54,TrainoCaso1,2019/11/13 9:59:28,Prima13,Schnell Spa,1,8
103,TrainoCaso1,2019/11/13 10:1:23,Prima13,Schnell Spa,1,8
71,TrainoCaso1,2019/11/13 10:0:8,Prima13,Schnell Spa,1,8
35,TrainoCaso1,2019/11/13 9:58:44,Prima13,Schnell Spa,1,8
86,TrainoCaso1,2019/11/13 10:0:43,Prima13,Schnell Spa,1,8
27,TrainoCaso1,2019/11/13 9:58:25,Prima13,Schnell Spa,1,8
55,TrainoCaso1,2019/11/13 9:59:31,Prima13,Schnell Spa,1,8
43,TrainoCaso1,2019/11/13 9:59:3,Prima13,Schnell Spa,1,8
62,TrainoCaso1,2019/11/13 9:59:47,Prima13,Schnell Spa,1,8
102,TrainoCaso1,2019/11/13 10:1:20,Prima13,Schnell Spa,1,8
31,TrainoCaso1,2019/11/13 9:58:34,Prima13,Schnell Spa,1,8
93,TrainoCaso1,2019/11/13 10:0:59,Prima13,Schnell Spa,1,8
98,TrainoCaso1,2019/11/13 10:1:11,Prima13,Schnell Spa,1,8
66,TrainoCaso1,2019/11/13 9:59:56,Prima13,Schnell Spa,1,8
45,TrainoCaso1,2019/11/13 9:59:7,Prima13,Schnell Spa,1,8
1,TrainoCaso1,2019/11/13 9:56:29,Prima13,Schnell Spa,1,8
22,TrainoCaso1,2019/11/13 9:58:13,Prima13,Schnell Spa,1,8
8,TrainoCaso1,2019/11/13 9:57:41,Prima13,Schnell Spa,1,8
79,TrainoCaso1,2019/11/13 10:0:27,Prima13,Schnell Spa,1,8
42,TrainoCaso1,2019/11/13 9:59:0,Prima13,Schnell Spa,1,8
59,TrainoCaso1,2019/11/13 9:59:40,Prima13,Schnell Spa,1,8
5,TrainoCaso1,2019/11/13 9:56:36,Prima13,Schnell Spa,1,8
53,TrainoCaso1,2019/11/13 9:59:26,Prima13,Schnell Spa,1,8
51,TrainoCaso1,2019/11/13 9:59:21,Prima13,Schnell Spa,1,8
37,TrainoCaso1,2019/11/13 9:58:48,Prima13,Schnell Spa,1,8
56,TrainoCaso1,2019/11/13 9:59:33,Prima13,Schnell Spa,1,8
32,TrainoCaso1,2019/11/13 9:58:37,Prima13,Schnell Spa,1,8
24,TrainoCaso1,2019/11/13 9:58:18,Prima13,Schnell Spa,1,8
26,TrainoCaso1,2019/11/13 9:58:23,Prima13,Schnell Spa,1,8
73,TrainoCaso1,2019/11/13 10:0:13,Prima13,Schnell Spa,1,8
97,TrainoCaso1,2019/11/13 10:1:9,Prima13,Schnell Spa,1,8
89,TrainoCaso1,2019/11/13 10:0:50,Prima13,Schnell Spa,1,8
52,TrainoCaso1,2019/11/13 9:59:24,Prima13,Schnell Spa,1,8
46,TrainoCaso1,2019/11/13 9:59:10,Prima13,Schnell Spa,1,8
3,TrainoCaso1,2019/11/13 9:56:33,Prima13,Schnell Spa,1,8
34,TrainoCaso1,2019/11/13 9:58:41,Prima13,Schnell Spa,1,8
21,TrainoCaso1,2019/11/13 9:58:11,Prima13,Schnell Spa,1,8
95,TrainoCaso1,2019/11/13 10:1:4,Prima13,Schnell Spa,1,8
106,TrainoCaso1,2019/11/13 10:1:30,Prima13,Schnell Spa,1,8
92,TrainoCaso1,2019/11/13 10:0:57,Prima13,Schnell Spa,1,8
6,TrainoCaso1,2019/11/13 9:56:38,Prima13,Schnell Spa,1,8
47,TrainoCaso1,2019/11/13 9:59:12,Prima13,Schnell Spa,1,8
19,TrainoCaso1,2019/11/13 9:58:6,Prima13,Schnell Spa,1,8
84,TrainoCaso1,2019/11/13 10:0:38,Prima13,Schnell Spa,1,8
78,TrainoCaso1,2019/11/13 10:0:24,Prima13,Schnell Spa,1,8
2,TrainoCaso1,2019/11/13 9:56:31,Prima13,Schnell Spa,1,8
74,TrainoCaso1,2019/11/13 10:0:15,Prima13,Schnell Spa,1,8
72,TrainoCaso1,2019/11/13 10:0:10,Prima13,Schnell Spa,1,8
