Time,Axe1X,Axe1Y,Axe1Z,Axe2X,Axe2Y,Axe2Z,Acquisition Number
1,-196,-3877,-964,3641,421,-1542,1
2,925,-4433,-392,3866,412,-952,1
3,346,-4324,-165,3733,519,-1290,1
4,-200,-3315,-2497,3507,524,-1468,1
5,617,-4483,-919,4062,360,-1720,1
6,171,-4148,-1384,4026,417,-1363,1
7,397,-4100,-278,3991,505,-1175,1
8,269,-3731,-979,3755,382,-1214,1
9,525,-4020,-1237,3885,515,-1397,1
10,-113,-3444,-2152,3749,267,-1611,1
11,46,-4258,-611,4070,264,-1252,1
12,654,-4467,-388,3976,653,-1342,1
13,333,-3973,-1011,3817,507,-1550,1
14,589,-3479,-2486,3680,553,-1421,1
15,-3,-4294,169,3979,443,-1121,1
16,430,-4386,136,4038,530,-1147,1
17,-19,-3777,-1556,3952,435,-1533,1
18,411,-3763,-2054,3872,422,-1530,1
19,-180,-3972,-903,3858,404,-1593,1
20,267,-3985,-1208,3896,477,-1374,1
21,442,-3990,-642,3754,415,-1420,1
22,412,-4211,-1042,3968,516,-1386,1
23,-49,-3909,-920,3880,466,-1438,1
24,-547,-3590,-1749,3789,379,-1457,1
25,349,-4050,-983,3821,446,-1439,1
26,363,-4034,-887,3836,548,-1298,1
27,-200,-3957,-1076,3933,419,-1311,1
28,620,-3971,-1092,3843,573,-1344,1
29,429,-4100,-950,3905,572,-1301,1
30,108,-4006,-1219,3965,401,-1444,1
31,111,-3845,-1106,3868,321,-1404,1
32,940,-4166,-1266,3981,622,-1290,1
33,297,-4001,-888,3837,394,-1378,1
34,-196,-3862,-1058,3857,355,-1647,1
35,716,-3941,-1863,3989,593,-1438,1
36,906,-4386,-162,3992,646,-1193,1
37,-566,-3960,-561,3821,324,-1353,1
38,123,-3672,-1877,3727,439,-1606,1
39,-88,-4067,-904,3853,380,-1482,1
40,521,-4209,-661,4008,552,-1208,1
41,59,-3829,-757,3858,455,-1264,1
42,362,-3906,-1173,3857,561,-1378,1
43,-6,-3891,-881,3800,462,-1528,1
44,187,-3847,-1620,3882,379,-1380,1
45,254,-4215,-833,3947,438,-1384,1
46,217,-4038,-836,3878,437,-1512,1
47,521,-3878,-1400,3830,520,-1499,1
48,89,-3841,-1383,3823,365,-1460,1
49,13,-4049,-673,3990,425,-1240,1
50,-451,-3992,-568,3992,281,-1282,1
51,-5,-3649,-1928,3866,434,-1347,1
52,553,-3906,-1078,3819,497,-1390,1
53,776,-3975,-993,3943,611,-1235,1
54,-278,-4023,-631,3971,432,-1225,1
55,490,-3924,-1329,3837,515,-1316,1
56,73,-4211,-705,3963,389,-1291,1
57,444,-3890,-1528,3894,550,-1372,1
58,31,-3938,-786,3886,421,-1518,1
59,328,-3781,-1640,3879,487,-1384,1
60,363,-4291,-322,3985,555,-1291,1
61,121,-4024,-1010,3866,437,-1502,1
62,172,-3907,-1702,3882,419,-1483,1
63,-163,-3926,-1060,3910,381,-1293,1
64,680,-4328,-146,3827,331,-1364,1
65,507,-3938,-1030,3939,467,-1148,1
66,271,-3894,-1189,3879,453,-1367,1
67,45,-3937,-776,3757,436,-1347,1
68,13,-3825,-1285,3860,379,-1345,1
69,220,-4065,-948,3938,459,-1323,1
70,411,-4018,-897,3887,542,-1237,1
71,634,-4056,-1224,3858,567,-1554,1
72,383,-3715,-1637,3873,507,-1476,1
73,127,-4161,-835,3992,513,-1522,1
74,13,-4056,-806,3985,425,-1337,1
75,217,-3927,-1427,3888,429,-1365,1
76,492,-3874,-1330,3797,469,-1529,1
77,365,-3784,-1349,3910,437,-1304,1
78,238,-4216,-212,3965,493,-1144,1
79,-309,-4083,-661,3965,374,-1248,1
80,-246,-3861,-1409,3829,413,-1430,1
81,552,-3860,-1364,3818,569,-1401,1
82,43,-3926,-968,3863,494,-1240,1
83,108,-4072,-786,3942,485,-1393,1
84,-136,-3651,-1736,3867,456,-1600,1
85,399,-3960,-1510,3874,367,-1638,1
86,569,-3960,-1155,3854,479,-1198,1
87,396,-4180,-344,3885,490,-1396,1
88,-38,-3939,-1169,3781,375,-1512,1
89,-8,-3685,-1810,3802,396,-1600,1
90,185,-4197,-833,3928,422,-1385,1
91,76,-4306,-68,4082,380,-1157,1
92,539,-3989,-930,3843,614,-1319,1
93,169,-3704,-1541,3727,516,-1319,1
94,249,-3879,-1446,3844,448,-1472,1
95,63,-4136,-996,4002,573,-1435,1
96,-294,-4021,-1064,4024,497,-1279,1
97,143,-3877,-1270,3914,545,-1546,1
98,152,-3714,-1480,3755,516,-1364,1
99,269,-4194,-577,3896,467,-1328,1
100,-276,-3958,-692,3885,471,-1220,1
101,282,-3873,-1304,3851,360,-1541,1
102,303,-3954,-1399,3954,383,-1470,1
103,174,-3846,-1269,3887,414,-1385,1
104,521,-4167,-662,3887,510,-1239,1
105,-86,-3845,-660,3870,372,-1248,1
106,107,-3825,-1170,3823,441,-1560,1
107,27,-3811,-1539,3891,352,-1401,1
108,123,-4306,-643,4032,363,-1318,1
109,204,-4178,-486,3939,461,-1296,1
110,127,-3634,-1591,3744,571,-1451,1
111,158,-3890,-1203,3816,494,-1408,1
112,141,-4033,-792,3991,473,-1319,1
113,11,-4134,-1015,4032,456,-1355,1
114,445,-3973,-1576,3982,371,-1446,1
115,719,-4022,-1026,3872,516,-1351,1
116,-161,-3921,-696,3856,493,-1057,1
117,-898,-3912,-337,3928,454,-1170,1
118,399,-3847,-1171,3951,472,-1351,1
119,-72,-4007,-1048,3922,420,-1300,1
120,732,-4036,-1446,3886,538,-1294,1
121,300,-3990,-1346,3915,433,-1385,1
122,298,-3954,-1028,3886,384,-1462,1
123,201,-3971,-982,3862,508,-1254,1
124,142,-4102,-994,3833,491,-1456,1
125,157,-3795,-1571,3846,357,-1453,1
126,-38,-3858,-1222,3920,294,-1456,1
127,558,-4020,-1282,3939,521,-1046,1
128,346,-4228,137,3986,422,-1184,1
129,-741,-3528,-1860,3772,349,-1391,1
130,141,-3752,-1682,3886,510,-1519,1
131,-49,-4018,-839,3908,419,-1271,1
132,313,-4232,-835,4040,500,-1282,1
133,315,-3895,-1575,3771,499,-1501,1
134,510,-3970,-1268,3788,472,-1472,1
135,863,-4182,-1000,3974,565,-1428,1
136,-241,-3848,-1249,3890,436,-1272,1
